,0
0,0.0
1,10.0
2,115.0
3,120.0
4,125.0
5,140.0
6,145.0
7,15.0
8,150.0
9,160.0
10,165.0
11,170.0
12,175.0
13,180.0
14,185.0
15,20.0
16,210.0
17,215.0
18,225.0
19,230.0
20,240.0
21,245.0
22,250.0
23,255.0
24,260.0
25,265.0
26,270.0
27,275.0
28,290.0
29,295.0
30,30.0
31,300.0
32,310.0
33,315.0
34,320.0
35,325.0
36,330.0
37,335.0
38,340.0
39,35.0
40,350.0
41,355.0
42,55.0
43,60.0
44,65.0
45,70.0
46,80.0
47,85.0
48,90.0
49,95.0
50,0.0
51,10.0
52,100.0
53,105.0
54,110.0
55,115.0
56,120.0
57,130.0
58,135.0
59,140.0
60,145.0
61,150.0
62,155.0
63,160.0
64,170.0
65,175.0
66,180.0
67,195.0
68,200.0
69,210.0
70,215.0
71,220.0
72,245.0
73,25.0
74,250.0
75,255.0
76,260.0
77,270.0
78,275.0
79,280.0
80,285.0
81,290.0
82,295.0
83,30.0
84,300.0
85,305.0
86,310.0
87,320.0
88,345.0
89,35.0
90,350.0
91,355.0
92,40.0
93,45.0
94,50.0
95,60.0
96,65.0
97,70.0
98,90.0
99,95.0
100,100.0
101,110.0
102,115.0
103,135.0
104,140.0
105,145.0
106,15.0
107,150.0
108,155.0
109,160.0
110,165.0
111,175.0
112,180.0
113,190.0
114,195.0
115,200.0
116,205.0
117,210.0
118,215.0
119,225.0
120,240.0
121,245.0
122,25.0
123,250.0
124,265.0
125,280.0
126,285.0
127,290.0
128,295.0
129,300.0
130,305.0
131,310.0
132,325.0
133,330.0
134,335.0
135,345.0
136,35.0
137,350.0
138,355.0
139,40.0
140,45.0
141,5.0
142,50.0
143,60.0
144,65.0
145,70.0
146,75.0
147,80.0
148,90.0
149,95.0
150,0.0
151,10.0
152,100.0
153,105.0
154,110.0
155,115.0
156,120.0
157,125.0
158,130.0
159,135.0
160,140.0
161,145.0
162,155.0
163,170.0
164,175.0
165,190.0
166,195.0
167,20.0
168,200.0
169,210.0
170,215.0
171,220.0
172,25.0
173,250.0
174,255.0
175,260.0
176,265.0
177,270.0
178,280.0
179,285.0
180,290.0
181,295.0
182,30.0
183,300.0
184,310.0
185,325.0
186,340.0
187,345.0
188,35.0
189,350.0
190,355.0
191,40.0
192,45.0
193,50.0
194,60.0
195,65.0
196,70.0
197,75.0
198,80.0
199,95.0
200,0.0
201,10.0
202,105.0
203,110.0
204,115.0
205,130.0
206,145.0
207,15.0
208,160.0
209,170.0
210,180.0
211,185.0
212,190.0
213,195.0
214,210.0
215,215.0
216,220.0
217,225.0
218,230.0
219,235.0
220,245.0
221,25.0
222,250.0
223,255.0
224,260.0
225,270.0
226,280.0
227,285.0
228,290.0
229,295.0
230,30.0
231,315.0
232,325.0
233,330.0
234,340.0
235,345.0
236,35.0
237,350.0
238,355.0
239,40.0
240,45.0
241,5.0
242,50.0
243,55.0
244,60.0
245,65.0
246,70.0
247,75.0
248,85.0
249,95.0
250,10.0
251,100.0
252,110.0
253,125.0
254,130.0
255,135.0
256,140.0
257,145.0
258,150.0
259,155.0
260,160.0
261,165.0
262,170.0
263,185.0
264,20.0
265,200.0
266,205.0
267,210.0
268,215.0
269,225.0
270,230.0
271,235.0
272,245.0
273,250.0
274,260.0
275,265.0
276,280.0
277,285.0
278,290.0
279,295.0
280,30.0
281,300.0
282,320.0
283,325.0
